"","Har24hVsNaive_unique","NoHar24hVsNaive_unique","Har24hVsNaive_NoHar24hVsNaive_intersection"
"1","Ccng1","Pcbp1","Junb"
"2","Lck","Hnrnpu","Btg1"
"3","Lat","Rack1","Mcm7"
"4","Fermt3","Calr","Ppp1r15a"
"5","Il2rg","Hsp90b1","Stk17b"
"6","Gm2a","Satb1","Shisa5"
"7","Lgals1","Hnrnpm","Pnrc1"
"8","Sdcbp","Cdk2ap2","Txnip"
"9","Cdc42se1","Tuba1c","Srm"
"10","Uqcrc1","Nmd3","Myc"
"11","Sting1","Ddx39b","Gimap6"
"12","H2-T23","Trim27","Klf6"
"13","Idh3b","Actg1","Mcm3"
"14","Ccm2","Arl6ip1","Ruvbl2"
"15","Herpud1","Pfkp","Tubb5"
"16","Spata5","Plk3","Shmt2"
"17","Slc9a3r1","Nop53","Tpi1"
"18","Ly9","Brd4","Rrm1"
"19","Arl5c","Psmb6","Rrm2"
"20","Dnajc9","Pcif1","Cdk4"
"21","Ints11","Get4","Mcm6"
"22","Ptpn11","Impa1","Arhgap45"
"23","Samm50","Plek","Tfdp1"
"24","Dus1l","Nup88","Mcm5"
"25","Ndufv1","Chordc1","Hspa9"
"26","Kcnn4","Psmc3","Dusp10"
"27","Vps35","2210016F16Rik","Itgb7"
"28","Ash2l","Ubqln1","Stip1"
"29","Serinc3","Ctu2","Dgka"
"30","Ndufa10","Psmc6","Bcl2l1"
"31","Stambpl1","Rpl5","Gpr183"
"32","Cd48","Ccl3","Cd200"
"33","Dusp6","Eif3m","Sp100"
"34","Orc3","Mbd2","Nolc1"
"35","Parl","Rab11b","Saraf"
"36","Bax","Sc5d","Tomm40"
"37","Ncaph2","Spr","Gramd3"
"38","Gpr83","Nampt","Sh3kbp1"
"39","Sdhb","Hdac1","Ets1"
"40","Hmgb2","Prpf40a","Hspd1"
"41","Tespa1","Srrm2","Cytip"
"42","Gtf2h3","Mapk1ip1l","Prmt1"
"43","Tysnd1","Ywhah","Cct7"
"44","Setd6","Cd69","Ybx3"
"45","Pdlim1","Xpnpep1","Laptm5"
"46","Casp8ap2","Tspan13","Fkbp4"
"47","Tram1","Uqcrfs1","Dusp1"
"48","Nisch","Cpsf6","Shmt1"
"49","Dnttip2","Ctla4","Lsp1"
"50","Traf1","Slc2a1","Lig1"
"51","Tmem14c","Cdk11b","Jun"
"52","Ifrd1","Ints4","Cct6a"
"53","Sgta","Kti12","Arhgdib"
"54","Dennd2d","Hprt","Coro1a"
"55","Suclg2","Mbnl1","Slc19a1"
"56","Vasp","Il21r","Cnn2"
"57","H2ax","Hspa4l","Tmem109"
