"","HarVsNaive_unique","NoHarVsNaive_unique","HarVsNaive_NoHarVsNaive_intersection"
"1","Gnai2","Trbc1","Ppp1r15a"
"2","Pstpip1","Ptprc","Txnip"
"3","Cast","Ccm2","Klf6"
"4","Itgb2","Gpi1","Dusp10"
"5","Rgcc","Rtn3","Tsc22d3"
"6","Tspo","Trac","Junb"
"7","Itm2c","Ubc","Stk17b"
"8","Npc2","Son","Klf2"
"9","Wsb1","Ccnl2","Pnrc1"
"10","Ncf4","Rassf5","Jun"
"11","Sigirr","Acin1","Btg1"
"12","Gps1","Ddost","Myc"
"13","Lat","Inpp4b","Sp100"
"14","Septin6","Srrm2","Itgb7"
"15","Zfp207","Sh3gl1","Frat2"
"16","Ccar1","1700017B05Rik","Gramd3"
"17","Dnajc3","Nfkbib","Dusp1"
"18","Ppp3cc","Akap8","Tnfaip3"
"19","Actl6a","Ctla4","Ripor2"
"20","Osbpl9","Sharpin","S1pr1"
"21","Ptpn1","Slc25a5","Arhgap45"
"22","Slc9a3r1","Fus","Ifi213"
"23","B2m","Ep400","Adgre5"
"24","Rpa2","Cnn3","Tcf7"
"25","Ggnbp2","Irf2bp2","Gpr183"
"26","Dhrs7","Prkcsh","Fyb"
"27","Mtarc2","Creld2","Gimap6"
"28","Dlgap4","Ckb","Cd96"
"29","Pdlim1","Cd28","Jakmip1"
"30","Ahsa1","mt-Nd5","Irf1"
"31","Snrnp40","Man2a2","Shisa5"
"32","Adss","Ly6e","Lef1"
"33","Orai1","Psmc5","Otulinl"
"34","Tm9sf3","Mettl17","Ddx5"
"35","Znrf2","Cdk11b","Rgs2"
"36","Ncaph2","Aspscr1","Dgka"
"37","Pkp3","Nfkb1","Rasgrp2"
"38","Klhdc2","Traf4","Klf3"
"39","Anxa5","Pts","Acp5"
"40","Sri","Mad2l2","Clk1"
"41","Abcf1","Prrc2c","Evl"
"42","Pld3","Sdf4","Rcsd1"
"43","Farsa","Csnk1g2","Irs2"
"44","Dcaf11","Smad4","Ets1"
"45","Esyt1","Mlf2","Sh3kbp1"
"46","Mtch1","Capg","Add3"
"47","Cd3d","Cabin1","Fos"
"48","Ints11","Tfg","Lsp1"
"49","Zdhhc20","Rexo1","Entrep3"
"50","Icos","Eif4ebp2","Elf1"
"51","Slc38a1","Hprt","Skap1"
"52","Ccng1","Cd69","Srm"
"53","Rps6ka1","Rbbp6","Tpi1"
"54","Themis","Cdk2ap2","Selenop"
"55","Tpst2","Hectd1","Pkm"
"56","Nop56","Smc6","Cnn2"
"57","Kmt5a","Brd1","Pde4b"
"58","Usp1","Lpxn","Tspan32"
"59","Ppm1j","Vdac2","Zfp36"
"60","Abi1","mt-Cytb","4930523C07Rik"
"61","Scarb2","Septin11","H2-Q6"
"62","Btla","Pgm1","Rnf167"
"63","Rabac1","Tut7","Dapl1"
"64","Atp6v1d","Clk2","Mcm7"
"65","Mta3","St13","Btg2"
"66","Tnip1","Rnh1","Ltb"
"67","Dusp6","Anks3","Cbx4"
"68","Ftl1","Cndp2","Shmt2"
"69","Bnip3l","H2az2","Arhgap15"
"70","Pafah1b1","Mfng","Ccnl1"
"71","Sh3glb2","Phf3","Hspa9"
"72","Os9","Zmynd11","Pdcd4"
"73","Tcerg1","Rlf","Dusp5"
"74","Rsl1d1","Msl1","Vps37b"
"75","Cr1l","Tnrc6a","Vamp2"
"76","Gm2a","Psmd11","Emp3"
"77","Use1","Cmtm7","Saraf"
"78","Api5","Bod1l","Nsg2"
"79","Gpaa1","Dhx40","Bin2"
"80","Mettl16","Relch","Cdk4"
"81","Ctsa","Zfp281","Pgam1"
"82","Gnpda1","Mdm4","Ccdc88c"
"83","Stard7","Tnip2","Cnp"
"84","Ash2l","Fbxl3","Ruvbl2"
"85","Ptk2b","Pitpnb","Gtf2i"
"86","Cenpa","Pcnt","Dennd1c"
"87","Stat4","Psmb3","Tcp11l2"
"88","Tnfsf8","Prrc2b","Tob1"
"89","Tmsb4x","Pim1","Ctss"
"90","Rftn1","Ndufv2","Ypel3"
"91","Papss1","Dido1","Cyp51"
"92","Usp10","Rexo2","Cd37"
