"","HarVsNoHar5h_unique","Th17VsNaive_unique","HarVsNoHar5h_Th17VsNaive_intersection"
"1","Ccnl2","Ppp1r15a","Trib2"
"2","Ccar1","Dusp10","Gbp9"
"3","Uimc1","Txnip","Phgdh"
"4","Pdia3","Tsc22d3","Tuba1b"
"5","Srsf3","Klf2","Helz2"
"6","Cog8","Klf6","Ankrd12"
"7","Pdia4","Pnrc1","Creld2"
"8","Ranbp2","Jun","Ndrg3"
"9","Tecr","Ifi213","Cdh23"
"10","Kctd13","Junb","Acot7"
"11","Cstf3","Stk17b","Rnf213"
"12","Insig1","Frat2","Tnfrsf9"
"13","Ccnt2","S1pr1","Marcksl1"
"14","Pdlim1","Sp100","Cd320"
"15","Hnrnpa3","Ripor2","Resf1"
"16","Lpcat4","Btg1","Mxd1"
"17","Abhd12","Tnfaip3","Septin11"
"18","Acat1","Dusp1","Arrdc1"
"19","Capg","Itgb7","Hook2"
"20","Whamm","Gramd3","Gbp4"
"21","Fpgs","Tcf7","Plp2"
"22","Med1","Rasgrp2","Mad2l2"
"23","Trpm7","Cd96","Pstpip1"
"24","Spag9","Jakmip1","Tpi1"
"25","Tagln2","Adgre5","Itpkb"
"26","Nsdhl","Arhgap45","Pycr1"
"27","Wdr48","Gimap6","Tut7"
"28","Uhrf2","Myc","Dhcr24"
"29","Pspc1","Klf3","Igfbp4"
"30","Cltb","Fyb","Erg28"
"31","Dhx40","Lef1","Twf2"
"32","Tm9sf4","Irf1","Rrad"
"33","Asah1","Shisa5","Ilvbl"
"34","Yif1b","Rgs2","Rnf157"
"35","Sting1","Gpr183","Nefh"
"36","Med14","Clk1","Tpgs2"
"37","Tbcb","Dgka","Foxk1"
"38","Spg7","Fos","Herc1"
"39","Ccl4","Ddx5","Tle6"
"40","Vps11","Acp5","Aff1"
"41","Uap1","Dapl1","Dock2"
"42","Atg16l1","Evl","Pttg1"
"43","Fkbp2","Ltb","Cr1l"
"44","Isoc1","Otulinl","Gzmb"
"45","Sap130","Irs2","Alad"
"46","Eci1","Ets1","Tgfbi"
"47","Ppt1","Selenop","Ubxn11"
"48","Garin3","Rcsd1","Pmvk"
"49","Ahcyl2","Entrep3","Coq7"
"50","Sptssa","Zfp36","Nudt1"
"51","Glipr2","4930523C07Rik","Gsn"
"52","Tmem41a","Rnf167","Siva1"
"53","Ube2e3","Nsg2","Esyt1"
"54","1700037H04Rik","Add3","2610318N02Rik"
"55","Idh2","Lsp1","Arhgap9"
"56","Rftn1","Tspan32","Mapk8ip3"
"57","Flot1","Btg2","Man2a2"
"58","Igf1r","Cbx4","Ckb"
"59","Tmem126a","Cnn2","Dtnb"
"60","Nipsnap1","Pkm","Vps37b"
"61","Kansl3","Pik3ip1","Cd52"
"62","Ambra1","Arhgap15","Tbc1d10c"
"63","Klhl26","Pdcd4","Psen2"
"64","Nit2","Elf1","Il6st"
"65","Sec16a","Skap1","Dynlt2b"
"66","Syt11","Tcp11l2","Dut"
"67","Serpinb6a","Sh3kbp1","Sh3glb2"
"68","Ntan1","Pde4b","Mboat1"
"69","Tmem19","Tob1","Akr1c18"
"70","Net1","Ccnl1","Cyp20a1"
"71","Gcn1","Rflnb","Zbtb20"
"72","Rnh1","Dnajb9","Papss1"
"73","Slc35a2","Ccdc88c","Chac1"
"74","Snx15","Chd3","Lgals7"
"75","Ttll1","Arhgef18","Sigirr"
"76","Trim24","Dusp5","Crabp2"
"77","Rbm15","Il7r","Plcxd2"
"78","Sfxn2","Slc28a2","Slc25a35"
"79","B3galnt2","H2-Q6","Idi1"
"80","Atp23","Phf1","Dhrs7"
"81","Ldhb","Saraf","Ncs1"
"82","Ebpl","Itpr2","Dgat2"
"83","Pex6","Cmah","Avpi1"
"84","Cby1","Arhgap4","Atrip"
"85","Cyb561d2","Cited2","Ttll4"
"86","Scpep1","Srm","Kctd2"
"87","Ears2","Vamp2","Dctd"
"88","Usp11","Pik3r1","Zfp871"
"89","Gmppa","Gtf2i","AW554918"
"90","Acy1","Als2cl","Dnph1"
"91","AI854703","Pecam1","Crebrf"
"92","Cln5","C1qb","Parp9"
"93","Stard3nl","Emp3","Lamb3"
"94","Anapc11","Il16","Pdxk"
"95","Pyurf","Scml4","Egfl7"
"96","Chchd10","Per1","Pmm1"
"97","Cln3","Prkd2","Zfp687"
"98","Hddc2","Klf13","Nup210l"
"99","Anxa5","Ypel3","Sergef"
"100","Tmem39b","Ctss","Ctnnbip1"
"101","Ppil3","Tdrp","Pitpnm1"
"102","Gm2a","Sell","Rps6ka1"
"103","Chpf2","Kbtbd2","Gins2"
"104","Stap1","Ppp1r18","Lasp1"
"105","Kdm5c","Gbp8","Fyco1"
"106","Atr","Ldha","Plekhg2"
"107","Rdh12","Ifi214","Slc18a2"
"108","Crybg2","Rab37","Sfxn3"
"109","Ptpn4","Sit1","Tmem238"
"110","Zfp512b","Traf5","Sgk3"
"111","Rint1","Cd37","Rbm47"
"112","Bcat2","Kif21b","Cd177"
"113","Fbxw5","Zc3hav1","Msra"
"114","Trappc1","Hspa9","Gm4951"
"115","Bbln","Tecpr1","Dennd1c"
"116","Rcan1","Ms4a4b","Ppm1m"
"117","Tada3","Cd7","9130023H24Rik"
"118","Dync2h1","Shmt2","Ptpmt1"
"119","Katnip","Dyrk2","Tube1"
"120","Zkscan1","Tnfrsf4","Klc3"
"121","Cars2","Septin1","Mxd4"
"122","Ccs","Ruvbl2","Abcb8"
"123","Enpp4","Slc49a4","Tmem256"
"124","Mrps16","S1pr4","Prdx4"
"125","Dcaf4","Sik1","Car12"
"126","Cfl2","Cirbp","Sox4"
"127","Gaa","Sema4a","Maoa"
"128","Cst7","Ikbke","Carhsp1"
"129","Scrn2","Gata3","Gm20696"
"130","Zfp40","Pgam1","Il12rb1"
"131","Gnb1l","Traf3ip3","Ncmap"
"132","Mcur1","Dock8","Pan3"
"133","Zswim7","Zfp36l2","Acvrl1"
"134","Mcub","Mndal","Ncf4"
"135","Carf","Sgms1","Dhrs13"
"136","Zfp688","Actn1","Phf11b"
"137","Tcta","Cyp51","Syce2"
"138","Daglb","Bsg","Habp4"
"139","S1pr2","Eif5a","Tfeb"
"140","Clcn7","Il2ra","Pafah1b3"
"141","Zbtb40","Bin2","Neil1"
"142","Zfp276","Cnp","Fancb"
"143","Gstm1","Fcna","P2rx7"
"144","Usp19","Rasa3","Pde1b"
"145","Amn1","Foxo1","Tesc"
"146","Cryzl1","Il6ra","Fgl2"
"147","Smim36","Adcy7","Snrnp25"
"148","Amdhd2","Mcm7","Ddit4"
"149","Brms1l","Irf7","Card6"
"150","Mthfr","N4bp2l1","Eif5a2"
"151","Ndufaf7","Sh3bp5","Poc1a"
"152","Zfp580","Sh2d3c","Zdhhc12"
"153","Dhrs1","Gpr132","Evi2a"
"154","Tcf3","Il27ra","Ankrd37"
"155","Gemin2","Ifi208","Nme6"
"156","Igsf8","Cdk4","Ier3"
"157","Gstm4","Otud1","Vamp5"
"158","Idh1","B4galnt1","Chst10"
"159","Gtf2a1","C1qa","Cryl1"
"160","Spin2c","Hsd11b1","Npw"
"161","Cep78","Ccr7","Tha1"
"162","Gcdh","Maf1","Timp2"
"163","Kyat1","Arhgef1","Dipk1b"
"164","Zfp407","Rsrp1","Slc22a5"
"165","Haus8","Ankrd44","Treml4"
"166","Arxes2","Slc16a5","Rnaset2b"
"167","Decr2","Psmd1","Pcbd2"
"168","Mpp7","Sorl1","Gpd1l"
"169","Cpne2","Akap8l","Hid1"
"170","St3gal5","Ipcef1","Cdh24"
"171","Ypel2","Eif4a2","Gm28053"
"172","Pctp","Rbms1","Ids"
"173","Dhcr7","Ifi206","Gja1"
"174","Ccl3","Ifi209","Glmn"
"175","Smpd1","Psat1","Serf1"
"176","Lratd2","Atp1b3","Sec22c"
"177","Epcam","Crlf3","Nrn1"
"178","Lhpp","Zfand2a","Zfp850"
"179","Abhd5","Epc1","Rusc1"
"180","Ggh","H2-Q7","Klhl24"
"181","Lcmt1","Rrm1","Nemp2"
"182","Hmbox1","Gapdh","Acot2"
"183","Haus1","Tfdp1","St6galnac6"
"184","Erc1","Gars","Idua"
"185","Adora2a","Srsf5","Uhrf1"
"186","Plin3","Rhoh","Tnrc18"
"187","Maged2","Hbp1","Cenpa"
"188","Tbc1d19","Acap1","Zkscan14"
"189","Ppp1r37","Cd3e","Il22"
"190","Gpatch11","Lipa","Rhbdd3"
"191","Rfx5","Rac2","Klhl36"
"192","Nmnat3","Tomm40","H1f2"
"193","Galnt12","Anxa6","Sytl2"
"194","Map3k15","Txk","AA467197"
"195","Casc1","Vcam1","Dtx1"
"196","Gm17455","P2ry10","Traj18"
"197","Abcg2","Pbxip1","Zfp583"
"198","Cdin1","Tagap","Man1c1"
"199","Dnajc12","Ifi203","Shd"
"200","Nfya","Lmbr1l","Smim19"
"201","Hsf2bp","Utrn","Taf9b"
"202","Pstk","Cct7","Zkscan7"
"203","Capn15","Rpn1","Ephb6"
"204","Iah1","Carns1","Ccl22"
"205","Selenoh","Smad7","Rgs14"
"206","Il1rap","Ran","Aldh1a1"
"207","Raet1d","Cd200","Tnfaip8l1"
"208","Gprasp2","H2-Q5","Dnah8"
"209","Zfp780b","Hpgd","F3"
"210","Gga2","Cct6a","Ap1s2"
"211","Commd10","Lax1","Entpd7"
"212","Dnajb14","Zbtb21","Atp8b4"
"213","Zc4h2","Jund","E2f7"
"214","Chst12","Adamts10","Gm45902"
"215","Dennd4c","Sesn1","Serpini1"
"216","Ribc1","Ccl5","Zc3h3"
"217","Atp6v0a1","Smarca2","Magohb"
"218","Dnah7a","Stx5a","Wfikkn2"
"219","Eogt","Sqstm1","Pik3r3"
"220","Suox","Adgre4","Pigw"
"221","Tmem141","H2-K1","Nudt2"
"222","Tmtc4","Mycbp2","Nutm1"
"223","Tspoap1","Coro1a","Blvrb"
"224","Fuca2","Arhgdib","Flt3l"
"225","Ckap4","Vipr1","Ptk2"
"226","Cpt2","Gimap3","Padi2"
"227","Milr1","Pik3r5","Asns"
"228","Hibch","Mylip","Bbs9"
"229","Napepld","Arl5c","Tmem237"
"230","Pigp","Mcm6","Ifit3b"
"231","Zfp560","Stk10","Slfn4"
"232","Zfp335","Sash3","Mmgt1"
"233","Anp32a","H2-T10","Ttl"
"234","Ndrg2","Gramd1a","Paqr4"
"235","Tmem17","Orai2","Inpp4a"
"236","Mettl21c","BC147527","Or1o4"
"237","Mvk","Cdkn1b","Masp2"
"238","B3glct","Tmem71","Zer1"
"239","Pdpr","Pgk1","Bmp1"
"240","Kctd9","Ranbp10","Anxa3"
"241","Angptl6","Slc40a1","Traj17"
"242","Adam15","Arrb2","Tcam1"
"243","Ankzf1","Ppp2r5a","Ehd3"
"244","Myl6b","Rnf125","Esco2"
"245","Gng2","Rapgef6","Tbc1d7"
"246","Scamp4","C1qc","Zbtb32"
"247","Hadh","Gm8369","Gpnmb"
"248","Apip","Itga4","Zfp438"
"249","Ly96","Cytip","Endod1"
"250","Foxred2","Odc1","Ccdc63"
"251","Pde6b","Ybx1","Npas4"
"252","Acadsb","Mafk","Pter"
"253","Cul9","Jak1","Dhx58"
"254","Rhebl1","Stip1","Hint2"
"255","Gnb4","Card11","Ppfibp1"
"256","Pcbp3","Akap13","Tlr6"
"257","Lca5","Tapbp","Ednrb"
"258","Mkks","Rassf2","Atg2a"
"259","Kctd4","Fam78a","Nqo1"
"260","Hopx","Tacc1","Zbtb37"
"261","Def8","Eno1","Pdzk1ip1"
"262","Cyp4f17","Prmt1","Ifit1bl1"
"263","Zswim4","Macf1","Traj19"
"264","Mmgt2","Atp5b","Il15"
"265","Septin8","Prr14","Oasl2"
"266","Ppard","Cct5","Gm49396"
"267","Prkab2","Eif1","Acot13"
"268","Abcc4","Irf9","Fam216a"
"269","Hmgxb3","Ube2h","Traj22"
"270","Mettl15","Ifngr1","Kyat3"
"271","As3mt","Tcp1","Rab11fip4"
"272","Pipox","Ddx1","Pidd1"
"273","Bex2","Samhd1","Unkl"
"274","Slc2a8","Ppp3ca","Trbj1-5"
"275","Atxn1l","H2-Ob","Zfp169"
"276","Ift27","Metap2","Phyh"
"277","Endog","Plec","Traj13"
"278","Prcp","Noc4l","9930111J21Rik2"
"279","Mccc2","Rgl2","Megf9"
"280","Dennd3","Shmt1","Cx3cl1"
"281","Mutyh","Hdgf","Utf1"
"282","Ofd1","Rnf166","Dyrk1b"
"283","Mta1","Pnpla7","Ak7"
"284","Prkra","Mcm5","Rdm1"
"285","Grhpr","Sntb1","Rassf4"
"286","Cilk1","Slfn1","Ccdc40"
"287","Cdca7l","Cd4","Pak6"
"288","Cdkl3","St8sia6","Rab3a"
"289","Traj35","Slamf1","Tcn2"
"290","Fbxl20","Mcl1","9930012K11Rik"
"291","Prdm15","Dnajb4","Lpar3"
"292","Garre1","Map1lc3b","Slc23a1"
"293","Cyb561a3","Nrbp1","Slc28a2b"
"294","Poglut3","Galk1","Traj50"
"295","Aldh1a2","Tfrc","Cdo1"
"296","Lhfp","Mgst2","Acsl6"
"297","Trp53i13","Itga6","Lrrc27"
"298","Usp46","Tars","Pou5f2"
"299","Zswim3","Ybx3","Aurka"
"300","Tmem159","Irf2","Zfp865"
"301","Btd","Slc19a1","Gmnn"
"302","Iftap","Kpna2","Gramd1c"
"303","4930579G24Rik","Rigi","Il4"
"304","Bcar3","Arid1a","Ccdc74a"
"305","Limk1","Gsdmd","Anxa4"
"306","Ccdc102a","Csf1r","Rtn2"
"307","Hscb","Eif3c","Dscc1"
"308","Dok4","Tubb2a","Cutc"
"309","B4gat1","Dnajb1","Igsf3"
"310","Zfp882","Mcm3","Wdr54"
"311","Apbb1","Acss2","Lpl"
"312","Eef2k","Art2b","Hexb"
"313","Chpt1","Map4k2","Sema4c"
"314","Fuz","Kmt2c","Fam89a"
"315","Zfp934","Hspd1","9930111J21Rik1"
"316","Ggct","Arl4c","Rnf227"
"317","Dock9","Eif3l","Furin"
"318","Marf1","Adrb2","Traj21"
"319","Ppp1r21","Bcl9l","Rhoq"
