"","gene","logFC1","adj.P.Val1","logFC2","adj.P.Val2","mean_adj.P.Val","logFCDistance"
"1","1110032A03Rik",1.2279605739504,0.0119290276472411,-1.49098506434402,0.000491173677694379,0.00621010066246776,2.71894563829442
"2","1700010I14Rik",1.78360040797626,0.0125003731969012,-1.575957043552,0.0137436399367502,0.0131220065668257,3.35955745152826
"3","2610318N02Rik",-1.88656775844061,1.54897800251306e-06,3.43442304745442,1.8044609697618e-09,7.75391231741409e-07,5.32099080589503
"4","4931406C07Rik",2.09794726426531,0.0222047042504096,-2.17155681622624,0.00668580967538966,0.0144452569628996,4.26950408049155
"5","9130023H24Rik",-3.09948755057027,0.00011299080366036,2.33597835197443,0.000419428591917427,0.000266209697788894,5.4354659025447
"6","9930111J21Rik1",1.84404165197454,0.00902067217883794,-4.33422952102909,6.33360549569115e-10,0.00451033640609924,6.17827117300363
"7","9930111J21Rik2",1.47094870728789,0.00658766519231535,-4.01567046535272,2.18303727506001e-12,0.0032938325972492,5.48661917264062
"8","AA467197",-2.0975244101665,0.00153332402122403,4.80231493154136,1.32968874459145e-10,0.00076666207709645,6.89983934170786
"9","Abcg1",1.22520389228431,0.0412148846498142,-4.00552323402526,1.05276242463004e-11,0.0206074423301709,5.23072712630957
"10","Abcg3",2.47574085304162,0.0293027529630526,-7.06907291067636,5.54633990210178e-12,0.0146513764842995,9.54481376371797
"11","Actn2",2.24920212579679,0.0382881264751318,-4.99982770824467,2.02783909574129e-08,0.0191440733767614,7.24902983404146
"12","AI854703",-3.68350415954728,3.09929111066925e-06,-1.02619082410221,0.0316340903812835,0.0158185948361971,2.65731333544507
"13","Ak7",-2.32944807954344,0.00680522440367489,4.98582241161622,1.08220383809513e-07,0.00340266631202935,7.31527049115966
"14","Akr1c18",-1.43264595431872,5.4642147792657e-06,8.76369831380697,1.13362162925192e-11,2.732113057741e-06,10.1963442681257
"15","Aldh1a2",-2.5788436405,0.00302616141181241,2.07697016810853,0.00711622575435232,0.00507119358308236,4.65581380860852
"16","Ampd3",-2.33243312707308,0.0245249494784037,-4.5655154338923,2.9251987818219e-09,0.0122624762018012,2.23308230681921
"17","Angptl4",-1.0299015174566,0.0332283346745382,2.01231343229325,0.000251955656592822,0.0167401451655655,3.04221494974985
"18","Ankzf1",1.28149125010198,0.00116240012168687,-2.02499948180725,6.70406897403668e-08,0.000581233581188305,3.30649073190922
"19","Anxa3",-1.67908726022255,0.00373724724822711,1.75641621473206,0.000808870909545483,0.00227305907888629,3.43550347495461
"20","Arhgap9",-1.14420288546684,1.58485271292661e-06,-2.85771983083787,2.38253746281058e-23,7.92426356463305e-07,1.71351694537103
"21","Armcx4",-2.14493607506559,0.0450987426840309,1.99689187657886,0.0337406285488213,0.0394196856164261,4.14182795164444
"22","Arsk",1.64567148981526,0.0460830367344126,-2.83333450926433,4.19014942525566e-05,0.0230624691143326,4.47900599907958
"23","Asns",-1.09529241243241,0.00289171046290427,5.45272999557108,2.73571659208651e-09,0.00144585659931043,6.54802240800349
"24","Atg2a",1.00868537610294,0.00438552860901242,-2.07913142941686,2.77505318931253e-09,0.00219276569203281,3.0878168055198
"25","Atp23",-1.73003097251836,1.81819339541886e-06,1.43406873732937,9.46911018342457e-07,1.38255220688066e-06,3.16409970984773
"26","Atp6v0a1",-1.29998691494557,0.000819265984249048,2.05172067490595,4.13906920007214e-06,0.00041170252672456,3.35170758985152
