"","HarVsNoHar5h_unique","NoHar5hVsNaive_unique","HarVsNoHar5h_NoHar5hVsNaive_intersection"
"1","Ccnl2","Myc","Gbp9"
"2","Trib2","Klf2","Phgdh"
"3","Ccar1","Klf6","Insig1"
"4","Uimc1","Lef1","Creld2"
"5","Pdia3","Txnip","Cdh23"
"6","Srsf3","Irf8","Rnf213"
"7","Cog8","Tcf7","Tnfrsf9"
"8","Tuba1b","Map2k3","Marcksl1"
"9","Pdia4","Shmt2","Cd320"
"10","Helz2","Ppp1r15a","Septin11"
"11","Ranbp2","Tsc22d3","Arrdc1"
"12","Tecr","Cyp51","Hook2"
"13","Kctd13","Srm","Gbp4"
"14","Ankrd12","Dusp10","Fpgs"
"15","Cstf3","Lsp1","Tagln2"
"16","Ccnt2","Itgb7","Plp2"
"17","Ndrg3","Il2ra","Mad2l2"
"18","Pdlim1","Ltb","Cltb"
"19","Hnrnpa3","Pnrc1","Pstpip1"
"20","Lpcat4","Psat1","Sting1"
"21","Abhd12","Sp100","Med14"
"22","Acat1","S1pr1","Itpkb"
"23","Acot7","Txnrd1","Pycr1"
"24","Resf1","Tars","Dhcr24"
"25","Capg","Rac2","Igfbp4"
"26","Whamm","Arhgap45","Ccl4"
"27","Mxd1","Jun","Uap1"
"28","Med1","Pmepa1","Erg28"
"29","Trpm7","M6pr","Twf2"
"30","Spag9","Nars","Rnf157"
"31","Nsdhl","Junb","Nefh"
"32","Wdr48","Rnf149","Tmem41a"
"33","Uhrf2","Slamf1","Foxk1"
"34","Pspc1","Tnfaip3","Herc1"
"35","Dhx40","Cnn2","Tle6"
"36","Tm9sf4","Gars","Idh2"
"37","Asah1","Frat2","Dock2"
"38","Yif1b","Ripor2","Pttg1"
"39","Tpi1","Ccr8","Gzmb"
"40","Tbcb","Zfp52","Tgfbi"
"41","Spg7","Anxa6","Serpinb6a"
"42","Tut7","Clk1","Pmvk"
"43","Vps11","Emp3","Gsn"
"44","Rrad","Adgre5","Esyt1"
"45","Atg16l1","Rrp1b","2610318N02Rik"
"46","Fkbp2","Gramd3","Ttll1"
"47","Isoc1","Mthfd2","Arhgap9"
"48","Sap130","Tspan32","Rbm15"
"49","Eci1","Dgka","Man2a2"
"50","Ppt1","Eif3c","Atp23"
"51","Ilvbl","Tnfrsf4","Pex6"
"52","Garin3","Odc1","Cby1"
"53","Ahcyl2","Evl","Dtnb"
"54","Sptssa","Fyb","Vps37b"
"55","Glipr2","Rcsd1","Cd52"
"56","Tpgs2","Mat2a","Tbc1d10c"
"57","Ube2e3","Shmt1","Psen2"
"58","1700037H04Rik","Cars","AI854703"
"59","Aff1","Hspa9","Anapc11"
"60","Rftn1","Psmd1","Chchd10"
"61","Flot1","Yars","Sh3glb2"
"62","Igf1r","Jakmip1","Anxa5"
"63","Cr1l","Saraf","Tmem39b"
"64","Tmem126a","Slc19a1","Mboat1"
"65","Nipsnap1","Gfi1","Akr1c18"
"66","Kansl3","Sars","Cyp20a1"
"67","Ambra1","Eif5a","Zbtb20"
"68","Klhl26","Cd96","Papss1"
"69","Nit2","Klf3","Chac1"
"70","Alad","Psme3","Gm2a"
"71","Sec16a","Cnp","Lgals7"
"72","Syt11","Noc4l","Sigirr"
"73","Ubxn11","Pkm","Crabp2"
"74","Ntan1","Gnai2","Plcxd2"
"75","Tmem19","Dusp1","Slc25a35"
"76","Coq7","Ncl","Idi1"
"77","Nudt1","Egr2","Dhrs7"
"78","Net1","Ly6a","Ncs1"
"79","Gcn1","Nolc1","Dgat2"
"80","Rnh1","Orai1","Bcat2"
"81","Siva1","Rgs2","Ttll4"
"82","Slc35a2","Dkc1","Kctd2"
"83","Snx15","Acp5","Dctd"
"84","Mapk8ip3","Ruvbl2","Zfp871"
"85","Trim24","Ets1","Dnph1"
"86","Sfxn2","Entrep3","Cars2"
"87","B3galnt2","Otulinl","Crebrf"
"88","Ldhb","Crlf3","Ccs"
"89","Ebpl","Nop16","Parp9"
"90","Ckb","G3bp1","Pdxk"
"91","Cyb561d2","Elf1","Egfl7"
"92","Scpep1","Tomm40","Zswim7"
"93","Ears2","Nr4a2","Zfp687"
"94","Usp11","Prkd2","Carf"
"95","Gmppa","4930523C07Rik","Nup210l"
"96","Acy1","Cct3","Tcta"
"97","Cln5","Add3","Pitpnm1"
"98","Stard3nl","Arhgap15","Rps6ka1"
"99","Il6st","Rpn1","Gins2"
"100","Pyurf","Ctsd","Lasp1"
"101","Dynlt2b","Nop2","Fyco1"
"102","Cln3","Bin2","Gstm1"
"103","Dut","Cct5","Plekhg2"
"104","Hddc2","Pa2g4","Smim36"
"105","Ppil3","Sqle","Slc18a2"
"106","Chpf2","Eif6","Sfxn3"
"107","Stap1","Ccnd3","Tmem238"
"108","Kdm5c","Cited2","Sgk3"
"109","Atr","Fubp1","Brms1l"
"110","Rdh12","Nabp1","Tcf3"
"111","Crybg2","Ran","Cd177"
"112","Ptpn4","Irs2","Spin2c"
"113","Zfp512b","Ddx5","Gm4951"
"114","Avpi1","Maf1","Dennd1c"
"115","Rint1","Pdk1","Ppm1m"
"116","Atrip","Eprs","9130023H24Rik"
"117","Fbxw5","Slc29a1","Gcdh"
"118","Trappc1","Pdcd4","Ptpmt1"
"119","Bbln","Socs1","Tube1"
"120","Rcan1","Stx6","Klc3"
"121","Tada3","Slc1a5","Mxd4"
"122","AW554918","Utp4","Haus8"
"123","Dync2h1","Relb","Decr2"
"124","Katnip","Ypel3","Car12"
"125","Zkscan1","Hif1a","Sox4"
"126","Enpp4","Selenop","Dhcr7"
"127","Mrps16","Zc3hav1","Maoa"
"128","Dcaf4","Cd4","Smpd1"
"129","Cfl2","Tubb4b","Gm20696"
"130","Gaa","Ldha","Epcam"
"131","Lamb3","St6galnac4","Il12rb1"
"132","Cst7","Tle5","Ncmap"
"133","Scrn2","Cbx4","Pan3"
"134","Zfp40","Eif4e","Acvrl1"
"135","Gnb1l","Rcl1","Ncf4"
"136","Mcur1","Tuba1c","Dhrs13"
"137","Mcub","Rnf167","Phf11b"
"138","Pmm1","Ppa1","Syce2"
"139","Zfp688","Ccr7","Hmbox1"
"140","Sergef","Prmt1","Habp4"
"141","Daglb","Cct6a","Plin3"
"142","S1pr2","Tcp11l2","Neil1"
"143","Ctnnbip1","Ppan","P2rx7"
"144","Clcn7","Fos","Pde1b"
"145","Zbtb40","Tecpr1","Tesc"
"146","Zfp276","Bysl","Galnt12"
"147","Usp19","Il7r","Card6"
"148","Amn1","Stk17b","Eif5a2"
"149","Cryzl1","Grap","Cdin1"
"150","Amdhd2","Rcc1","Hsf2bp"
"151","Mthfr","Pes1","Pstk"
"152","Rbm47","Nfkb1","Evi2a"
"153","Ndufaf7","Ifi213","Selenoh"
"154","Zfp580","Celf2","Nme6"
"155","Dhrs1","Ddx39a","Ier3"
"156","Gemin2","Lars","Vamp5"
"157","Igsf8","Samsn1","Chst10"
"158","Gstm4","C1qbp","Cryl1"
"159","Msra","Atad3a","Npw"
"160","Idh1","Abcf2","Tha1"
"161","Gtf2a1","Mrps6","Raet1d"
"162","Cep78","Lpxn","Timp2"
"163","Kyat1","Shisa5","Treml4"
"164","Zfp407","Rpl7l1","Rnaset2b"
"165","Abcb8","Sash3","Pcbd2"
"166","Arxes2","Dock8","Gpd1l"
"167","Tmem256","Irf1","Hid1"
"168","Mpp7","Gimap6","Cdh24"
"169","Cpne2","Septin1","Gm28053"
"170","St3gal5","Rhof","Zc4h2"
"171","Prdx4","Ddx56","Chst12"
"172","Ypel2","Ttc39b","Dennd4c"
"173","Pctp","Kpna2","Glmn"
"174","Ccl3","Map4k2","Ribc1"
"175","Carhsp1","Aopep","Atp6v0a1"
"176","Lratd2","Adcy7","Eogt"
"177","Lhpp","Eif3l","Tmem141"
"178","Abhd5","Irf4","Serf1"
"179","Ggh","Gspt1","Sec22c"
"180","Lcmt1","Tcp1","Nrn1"
"181","Haus1","Slc28a2","Zfp850"
"182","Erc1","Malt1","Anp32a"
"183","Adora2a","Gcsh","Ndrg2"
"184","Tfeb","Tspo","Tmem17"
"185","Pafah1b3","Pus7","B3glct"
"186","Maged2","Nifk","Rusc1"
"187","Tbc1d19","Psma5","Klhl24"
"188","Fancb","Acap1","Ankzf1"
"189","Ppp1r37","Arhgef1","Nemp2"
"190","Gpatch11","Smyd5","Acot2"
"191","Rfx5","Ccdc88c","St6galnac6"
"192","Fgl2","Pik3r1","Gng2"
"193","Nmnat3","Nhp2","Idua"
"194","Snrnp25","Ddx21","Hadh"
"195","Ddit4","Cct7","Foxred2"
"196","Map3k15","Eif2s1","Tnrc18"
"197","Casc1","Ybx1","Cenpa"
"198","Poc1a","Sell","Zkscan14"
"199","Gm17455","Ruvbl1","Il22"
"200","Abcg2","Cd53","Rhbdd3"
"201","Zdhhc12","Anp32b","Cul9"
"202","Dnajc12","Rasgrp2","Klhl36"
"203","Nfya","Hspd1","Gnb4"
"204","Capn15","Nsun2","H1f2"
"205","Iah1","Esd","AA467197"
"206","Ankrd37","Cdk4","Dtx1"
"207","Il1rap","Arl5c","Zswim4"
"208","Dipk1b","Tob1","Prkab2"
"209","Gprasp2","Pik3ip1","Zfp583"
"210","Slc22a5","Sh3bp5","Man1c1"
"211","Zfp780b","Crip1","Shd"
"212","Gga2","Arrb2","Smim19"
"213","Commd10","Slc3a2","Pipox"
"214","Dnajb14","Ikbke","Zkscan7"
"215","Ids","Lbr","Ephb6"
"216","Gja1","Arhgap4","Ccl22"
"217","Dnah7a","Pdcd1","Rgs14"
"218","Suox","Sh2d2a","Prcp"
"219","Tmtc4","Traf3ip3","Tnfaip8l1"
"220","Tspoap1","Def6","Dnah8"
"221","Fuca2","Kars","Mccc2"
"222","Ckap4","Msmo1","Entpd7"
"223","Cpt2","Gps1","Atp8b4"
"224","Milr1","Phf1","E2f7"
"225","Hibch","Pgam1","Prkra"
"226","Napepld","Zc3h12d","Grhpr"
"227","Pigp","Metap2","Serpini1"
"228","Zfp560","Sik3","Cilk1"
"229","Zfp335","Themis","Magohb"
"230","Mettl21c","Dusp5","Pik3r3"
"231","Mvk","Selplg","Pigw"
"232","Pdpr","Slc38a1","Nudt2"
"233","Kctd9","Sit1","Nutm1"
"234","Angptl6","Als2cl","Fbxl20"
"235","Adam15","Eif3b","Blvrb"
"236","Myl6b","Vim","Flt3l"
"237","Scamp4","Coro1a","Cyb561a3"
"238","Apip","Sh3kbp1","Padi2"
"239","Ly96","Sh3bp1","Asns"
"240","Pde6b","Pla2g12a","Aldh1a2"
"241","Uhrf1","Mrpl17","Bbs9"
"242","Acadsb","Ftsj3","Lhfp"
"243","Rhebl1","Slc7a1","Tmem237"
"244","Pcbp3","Tnfsf8","Ifit3b"
"245","Lca5","Mapkapk3","Trp53i13"
"246","Sytl2","Ptpn1","Slfn4"
"247","Mkks","Ddx1","Inpp4a"
"248","Kctd4","Srgn","Zer1"
"249","Hopx","Cmah","Bmp1"
"250","Def8","Rsrp1","Anxa3"
"251","Cyp4f17","Sema4a","Tcam1"
"252","Mmgt2","Gtf2i","Ehd3"
"253","Traj18","Cd37","Esco2"
"254","Septin8","Stt3a","Tbc1d7"
"255","Ppard","Smc4","Gpnmb"
"256","Abcc4","Tomm70a","Zfp438"
"257","Hmgxb3","Akna","Ccdc63"
"258","Mettl15","Hsd17b12","Npas4"
"259","As3mt","Serbp1","Dhx58"
"260","Bex2","Zfp36l2","Fuz"
"261","Taf9b","Map1lc3b","Hint2"
"262","Slc2a8","Kras","Ppfibp1"
"263","Atxn1l","Kbtbd2","Ednrb"
"264","Ift27","Psmd7","Atg2a"
"265","Aldh1a1","Rbms1","Dock9"
"266","Endog","Scml4","Nqo1"
"267","F3","Psmc5","Marf1"
"268","Dennd3","Mlec","Aldh1b1"
"269","Ap1s2","N4bp2l1","Pdzk1ip1"
"270","Mutyh","Strap","Ifit1bl1"
"271","Ofd1","Nop56","Haus4"
