"","gene","logFC1","adj.P.Val1","logFC2","adj.P.Val2","mean_adj.P.Val","logFCDistance"
"1","1700109H08Rik",1.35389317101804,0.0243146667962343,-1.70367240702595,9.88305087286415e-05,0.0122067486524814,3.05756557804399
"2","2610318N02Rik",-1.88656775844061,1.54897800251306e-06,2.79897563361698,4.48113487103891e-08,7.96894675611723e-07,4.68554339205759
"3","9130023H24Rik",-3.09948755057027,0.00011299080366036,1.3597891346741,0.0159355406186429,0.00802426571115164,4.45927668524437
"4","9930111J21Rik1",1.84404165197454,0.00902067217883794,-4.67437462567401,8.68749863005118e-22,0.00451033608941897,6.51841627764856
"5","9930111J21Rik2",1.47094870728789,0.00658766519231535,-4.46312876822866,1.01286465485052e-24,0.00329383259615768,5.93407747551656
"6","AA467197",-2.0975244101665,0.00153332402122403,4.08218947832032,2.39511127952827e-10,0.000766662130367577,6.17971388848682
"7","Abcb8",-1.41908013098657,0.000136967913762088,1.09390769016368,3.7220694391136e-09,6.84858179157634e-05,2.51298782115025
"8","Abcg1",1.22520389228431,0.0412148846498142,-1.85452682804542,1.45825416778397e-15,0.0206074423249078,3.07973072032973
"9","Abcg3",2.47574085304162,0.0293027529630526,-4.17042238086458,3.18720736424199e-19,0.0146513764815263,6.6461632339062
"10","Abi2",-1.09259612093311,0.0211472514189841,1.49064667719592,6.96616498607407e-07,0.0105739740177414,2.58324279812903
"11","Acot2",-1.35432929332302,0.00117797581138987,-3.27247015559712,4.54437387583192e-26,0.000588987905694933,1.9181408622741
"12","Acot7",-1.51830379280559,3.34999356492071e-10,2.17271342540488,2.06730887326897e-21,1.67499678247069e-10,3.69101721821047
"13","Acsl6",2.55520395809558,0.00765180062627765,5.3766089852974,1.41054109794128e-11,0.00382590032019153,2.82140502720183
"14","Actn2",2.24920212579679,0.0382881264751318,-3.09651226773434,2.72751457292723e-10,0.0191440633739416,5.34571439353113
"15","Aff1",1.1392552861757,2.754748750771e-07,-1.45368052939085,3.03786790200934e-15,1.37737439057484e-07,2.59293581556655
"16","Ak7",-2.32944807954344,0.00680522440367489,2.88847359390786,0.000233632593737325,0.00351942849870611,5.2179216734513
"17","Akr1c18",-1.43264595431872,5.4642147792657e-06,6.50227610756361,1.06079850984911e-08,2.7374113821821e-06,7.93492206188233
"18","Akr1e1",-1.72226057566025,0.0467387979091809,1.0644606545747,0.000659960572429124,0.023699379240805,2.78672123023495
"19","Alad",-1.28304432080144,7.09967700176105e-07,1.33921920843493,4.57937800259093e-12,3.54986139777054e-07,2.62226352923636
"20","Ampd3",-2.33243312707308,0.0245249494784037,-3.83789839327587,3.20016653607326e-19,0.0122624747392018,1.50546526620279
"21","Angptl4",-1.0299015174566,0.0332283346745382,2.73803532185225,2.37590637374464e-07,0.0166142861325878,3.76793683930885
"22","Ankrd12",1.38020917148629,3.36565620091545e-11,-1.61236917093959,3.27579478110735e-17,1.68282973835511e-11,2.99257834242587
"23","Ankrd37",-2.83875535526744,0.000472751254652006,1.22820579833379,0.00184006419417495,0.00115640772441348,4.06696115360123
"24","Anxa3",-1.67908726022255,0.00373724724822711,1.23411027863737,0.0053467658611564,0.00454200655469175,2.91319753885992
"25","Anxa4",-1.90829204256831,0.00822964438786639,1.72180793106822,7.47105335502833e-07,0.00411519574660095,3.63009997363652
"26","Armcx4",-2.14493607506559,0.0450987426840309,2.33166615066547,0.00152861456505792,0.0233136786245444,4.47660222573106
"27","Armcx6",-2.21338603798863,0.0291146882996951,2.34650063306196,0.000685482105926549,0.0149000852028108,4.5598866710506
"28","Arsk",1.64567148981526,0.0460830367344126,-1.19567357425376,0.000100102677706576,0.0230915697060596,2.84134506406902
"29","Asns",-1.09529241243241,0.00289171046290427,6.37417757688093,1.56010987320513e-11,0.00144585523925268,7.46946998931334
"30","Atg2a",1.00868537610294,0.00438552860901242,-1.94025007237325,8.98373055477295e-15,0.0021927643045107,2.9489354484762
"31","Atrip",2.24441697700635,1.59312108325087e-05,-1.03309051099268,0.00150855607933466,0.000762243645083586,3.27750748799903
"32","Aurka",-2.18383796187233,0.00783062678089777,2.36517893393828,4.74378986864496e-11,0.00391531341416784,4.54901689581061
"33","Avpi1",-1.76961542935109,1.35039501429168e-05,1.13039014352763,3.82669846841021e-07,6.94330999487892e-06,2.90000557287872
"34","Bik",-1.44988333387754,0.0483149977371624,2.09605154297887,5.92121381141479e-05,0.0241871049376383,3.54593487685641
"35","Blvrb",1.26390987778721,0.00274767344049441,-1.74278649939602,3.68964647414656e-11,0.00137383673869544,3.00669637718322
"36","Bmp1",-2.45501405774696,0.00369821758327138,4.08785509816293,5.98124733862211e-10,0.00184910909069806,6.54286915590989
"37","Bspry",-2.22117001846444,0.0149840292854517,1.42745795372048,0.00676999776902698,0.0108770135272393,3.64862797218492
"38","Cacna2d4",-2.54641729979601,0.0229529830035834,-4.66909772158099,1.98463585338542e-18,0.0114764915017917,2.12268042178498
"39","Car12",-1.37482461591493,0.000191116129513853,2.48141779863043,3.10464519658838e-08,9.55735879829093e-05,3.85624241454536
"40","Card6",1.7456307868399,0.00038348753955949,-2.52996926422918,4.11740561224629e-22,0.000191743769779745,4.27560005106908
"41","Carhsp1",-1.19349494554465,0.000228585043270603,1.18962229777796,1.42816004355023e-08,0.000114299662435519,2.38311724332261
"42","Ccdc40",-2.43316943978212,0.00687803083169665,3.70486756383948,3.57697885615421e-08,0.0034390333007426,6.1380370036216
"43","Ccdc63",2.03988748252819,0.00406648781110611,5.27951350105552,3.87514654818332e-15,0.00203324390555499,3.23962601852733
"44","Ccdc74a",-2.16410192089469,0.00813818544938241,2.11362376882286,9.90308804655854e-05,0.004118608164924,4.27772568971755
