
Overlap Results

Collection(s):	MH
# overlaps shown:	10
# genesets in collections:	50
# genes in comparison (n):	297
# genes in universe (N):	42726

Gene Set Name	# Genes in Gene Set (K)	Description	# Genes in Overlap (k)	k/K	p-value	FDR q-value
HALLMARK_IL2_STAT5_SIGNALING	199	Mouse genes annotated to HALLMARK_IL2_STAT5_SIGNALING based on orthology mappings provided by the Alliance Genome Consortium	13	0.0653	1.77E-9	8.87E-8
HALLMARK_KRAS_SIGNALING_UP	198	Mouse genes annotated to HALLMARK_KRAS_SIGNALING_UP based on orthology mappings provided by the Alliance Genome Consortium	8	0.0404	8.06E-5	1.44E-3
HALLMARK_GLYCOLYSIS	200	Mouse genes annotated to HALLMARK_GLYCOLYSIS based on orthology mappings provided by the Alliance Genome Consortium	8	0.0400	8.64E-5	1.44E-3
HALLMARK_HYPOXIA	199	Mouse genes annotated to HALLMARK_HYPOXIA based on orthology mappings provided by the Alliance Genome Consortium	7	0.0352	5.18E-4	5.18E-3
HALLMARK_MTORC1_SIGNALING	199	Mouse genes annotated to HALLMARK_MTORC1_SIGNALING based on orthology mappings provided by the Alliance Genome Consortium	7	0.0352	5.18E-4	5.18E-3
HALLMARK_PEROXISOME	102	Mouse genes annotated to HALLMARK_PEROXISOME based on orthology mappings provided by the Alliance Genome Consortium	5	0.0490	7.54E-4	6.28E-3
HALLMARK_BILE_ACID_METABOLISM	111	Mouse genes annotated to HALLMARK_BILE_ACID_METABOLISM based on orthology mappings provided by the Alliance Genome Consortium	5	0.0450	1.1E-3	7.88E-3
HALLMARK_ALLOGRAFT_REJECTION	192	Mouse genes annotated to HALLMARK_ALLOGRAFT_REJECTION based on orthology mappings provided by the Alliance Genome Consortium	6	0.0312	2.35E-3	1.4E-2
HALLMARK_XENOBIOTIC_METABOLISM	196	Mouse genes annotated to HALLMARK_XENOBIOTIC_METABOLISM based on orthology mappings provided by the Alliance Genome Consortium	6	0.0306	2.6E-3	1.4E-2
HALLMARK_APICAL_JUNCTION	199	Mouse genes annotated to HALLMARK_APICAL_JUNCTION based on orthology mappings provided by the Alliance Genome Consortium	6	0.0302	2.8E-3	1.4E-2


Gene/Gene Set Overlap Matrix

Entrez Gene Id	Gene Symbol	Gene Description	HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_KRAS_SIGNALING_UP	HALLMARK_GLYCOLYSIS	HALLMARK_HYPOXIA	HALLMARK_MTORC1_SIGNALING	HALLMARK_PEROXISOME	HALLMARK_BILE_ACID_METABOLISM	HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_APICAL_JUNCTION
20750	Spp1	secreted phosphoprotein 1 [Source:MGI Symbol;Acc:MGI:98389]	HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_KRAS_SIGNALING_UP								
18612	Etv4	ets variant 4 [Source:MGI Symbol;Acc:MGI:99423]	HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_KRAS_SIGNALING_UP								
20148	Dhrs3	dehydrogenase/reductase (SDR family) member 3 [Source:MGI Symbol;Acc:MGI:1315215]	HALLMARK_IL2_STAT5_SIGNALING					HALLMARK_PEROXISOME				
17829	Muc1	mucin 1, transmembrane [Source:MGI Symbol;Acc:MGI:97231]	HALLMARK_IL2_STAT5_SIGNALING									
21942	Tnfrsf9	tumor necrosis factor receptor superfamily, member 9 [Source:MGI Symbol;Acc:MGI:1101059]	HALLMARK_IL2_STAT5_SIGNALING									
14064	F2rl2	coagulation factor II (thrombin) receptor-like 2 [Source:MGI Symbol;Acc:MGI:1298208]	HALLMARK_IL2_STAT5_SIGNALING									
14256	Flt3l	FMS-like tyrosine kinase 3 ligand [Source:MGI Symbol;Acc:MGI:95560]	HALLMARK_IL2_STAT5_SIGNALING									
14299	Ncs1	neuronal calcium sensor 1 [Source:MGI Symbol;Acc:MGI:109166]	HALLMARK_IL2_STAT5_SIGNALING									
18619	Penk	preproenkephalin [Source:MGI Symbol;Acc:MGI:104629]	HALLMARK_IL2_STAT5_SIGNALING									
20719	Serpinb6a	serine (or cysteine) peptidase inhibitor, clade B, member 6a [Source:MGI Symbol;Acc:MGI:103123]	HALLMARK_IL2_STAT5_SIGNALING									
