"","ensembl_gene_id","mgi_symbol","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSMUSG00000029204","ENSMUSG00000029204","Rhoh",-1.37940794405284,7.53215889493943,-7.66982175634182,9.17383842773739e-08,0.00104783582521616,7.8749151454442
"ENSMUSG00000026989","ENSMUSG00000026989","Dapl1",-1.44816224236071,3.35144583261045,-5.98151530915434,4.35880373311879e-06,0.0172177174834384,4.19257782053231
"ENSMUSG00000020423","ENSMUSG00000020423","Btg2",0.903419453256886,9.02098681437007,5.96610779032965,4.52225113380451e-06,0.0172177174834384,3.83596164412993
"ENSMUSG00000033952","ENSMUSG00000033952","Aspm",4.46299129318075,1.15846351099496,5.75740107063823,7.4639325405674e-06,0.019524851981391,3.36544295470224
"ENSMUSG00000030339","ENSMUSG00000030339","Ltbr",3.56271915957912,0.268266416849526,5.70127081537385,8.54703728829933e-06,0.019524851981391,3.03379453022268
"ENSMUSG00000038612","ENSMUSG00000038612","Mcl1",0.616055255224675,9.75044046982998,5.51649195936808,1.33795884946521e-05,0.0244525283910113,2.69122823308069
"ENSMUSG00000074682","ENSMUSG00000074682","Zcchc3",3.34680911322261,1.67053707332679,5.46678310776896,1.51016809469707e-05,0.0244525283910113,2.59379179059492
"ENSMUSG00000018983","ENSMUSG00000018983","E2f2",1.42594952109722,3.13520677610645,5.41521299611891,1.71266176788733e-05,0.0244525283910113,3.04574878560778
"ENSMUSG00000030671","ENSMUSG00000030671","Pde3b",-1.08490274253133,6.17377452960126,-5.18771323018279,2.99095220298593e-05,0.037958506736117,2.31708772625527
"ENSMUSG00000042029","ENSMUSG00000042029","Ncapg2",3.97415105183669,2.23242960377874,5.08270632291236,3.87346744319407e-05,0.0405949554783031,1.92470377983739
"ENSMUSG00000079071","ENSMUSG00000079071","Gm14085",-1.3089281705189,3.54502309898183,-5.01753789476191,4.54919496552043e-05,0.0405949554783031,1.92365508645533
"ENSMUSG00000009292","ENSMUSG00000009292","Trpm2",3.25260754270603,0.398570965095048,5.01679103899263,4.55759244361763e-05,0.0405949554783031,1.67416393693126
"ENSMUSG00000026657","ENSMUSG00000026657","Frmd4a",3.57921008863806,1.07814399486767,5.01125457543808,4.62033287706129e-05,0.0405949554783031,1.70429745832249
"ENSMUSG00000002083","ENSMUSG00000002083","Bbc3",1.5692676033305,5.37379215529932,4.93328543482825,5.60232707631762e-05,0.0457069856183571,1.90249627041506
"ENSMUSG00000027233","ENSMUSG00000027233","Patl2",3.24909339032164,0.030876683674852,4.86270611511844,6.6717808169744e-05,0.0503202558692627,1.42538275474431
"ENSMUSG00000024044","ENSMUSG00000024044","Epb41l3",3.84126311485882,1.28055546777131,4.82391583430158,7.34483000254126e-05,0.0503202558692627,1.47176605025866
"ENSMUSG00000026605","ENSMUSG00000026605","Cenpf",3.32930666514229,1.45800584660522,4.81020559020389,7.59872666265284e-05,0.0503202558692627,1.25107651040161
"ENSMUSG00000066363","ENSMUSG00000066363","Serpina3f",3.4960563854487,0.995194504018874,4.79136170837194,7.96216791587912e-05,0.0503202558692627,1.35627988662886
"ENSMUSG00000034201","ENSMUSG00000034201","Gas2l1",3.49626259027883,2.14677234178212,4.77119331430472,8.37055560773938e-05,0.0503202558692627,1.2744662948188
"ENSMUSG00000022584","ENSMUSG00000022584","Ly6c2",1.18325191335663,6.10757757553074,4.7115323746791,9.70618712613392e-05,0.0532340418109305,1.11539652914627
"ENSMUSG00000035042","ENSMUSG00000035042","Ccl5",1.4690545411581,6.60435836380587,4.70817651208671,9.78738292794205e-05,0.0532340418109305,1.04753335261383
"ENSMUSG00000020649","ENSMUSG00000020649","Rrm2",2.32498242164752,4.20453619300322,4.55563650249953,0.000142969975983039,0.0742274120762853,1.061771206196
"ENSMUSG00000020914","ENSMUSG00000020914","Top2a",1.88178039170128,4.40249156309722,4.51501250884735,0.00015816330555686,0.0785452728726282,0.9712227150412
"ENSMUSG00000025747","ENSMUSG00000025747","Tyms",2.02044098061652,3.83478843824736,4.38144011358476,0.000220473577917054,0.104927050290358,0.625661385876003
"ENSMUSG00000037415","ENSMUSG00000037415","Ranbp10",-1.08310094278959,5.82528322045639,-4.35570639148623,0.000235043048325393,0.105239851196214,0.242876137005351
"ENSMUSG00000025702","ENSMUSG00000025702","March8",3.67987280867498,1.64309868143873,4.34805377900668,0.000239558407555731,0.105239851196214,0.401610945551102
"ENSMUSG00000002324","ENSMUSG00000002324","Rec8",2.92357854921757,2.20781118060457,4.31099358239389,0.000262681349383751,0.107365598140806,0.43698762959506
"ENSMUSG00000020183","ENSMUSG00000020183","Cpm",-1.16284630342466,4.33445335957056,-4.29818310724806,0.000271181780112159,0.107365598140806,0.309595757158921
"ENSMUSG00000023034","ENSMUSG00000023034","Nr4a1",0.78199680992226,9.64633585700755,4.29608937241046,0.000272596948527698,0.107365598140806,-0.202513262252261
