"","ensembl_gene_id","mgi_symbol","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSMUSG00000018983","ENSMUSG00000018983","E2f2",3.83493577749816,3.13520677610645,7.64942660705205,9.59082193480819e-08,0.00109546368139379,6.20758163258886
"ENSMUSG00000022853","ENSMUSG00000022853","Ehhadh",-3.77846542762154,2.07298323733548,-6.23546678637558,2.38495719828538e-06,0.0136204905594078,4.17113094456462
"ENSMUSG00000024186","ENSMUSG00000024186","Rgs11",-3.08449129207572,3.1171432372496,-5.78824372966207,6.92928606323917e-06,0.0263821018047726,3.16437559008454
"ENSMUSG00000033350","ENSMUSG00000033350","Chst2",-0.899646885501363,5.45561814321245,-5.18739686387837,2.9932798261291e-05,0.0689836757371913,2.09120765922422
"ENSMUSG00000066150","ENSMUSG00000066150","Slc31a1",-1.14928425953532,5.03732136066638,-5.04042840806331,4.29925320163246e-05,0.0689836757371913,2.05740689375967
"ENSMUSG00000026581","ENSMUSG00000026581","Sell",0.768769956995805,8.5529349819394,5.03552162190273,4.35163686298426e-05,0.0689836757371913,1.88393516611393
"ENSMUSG00000040929","ENSMUSG00000040929","Rfx3",-2.90172883787313,2.47407989235853,-4.98106967714039,4.97804422096776e-05,0.0689836757371913,1.643101885701
"ENSMUSG00000032417","ENSMUSG00000032417","Rwdd2a",3.03545216295629,1.41589252106811,4.97870789021869,5.00718459290575e-05,0.0689836757371913,1.43314770477675
"ENSMUSG00000027323","ENSMUSG00000027323","Rad51",3.71889334728463,1.75545904272263,4.89226104590665,6.20094716195255e-05,0.0689836757371913,1.56567892629575
"ENSMUSG00000037211","ENSMUSG00000037211","Spry1",-0.831197249286481,6.04832871740177,-4.87737634505372,6.43373458360639e-05,0.0689836757371913,1.37670219875184
"ENSMUSG00000020326","ENSMUSG00000020326","Ccng1",0.724070741654551,7.40364404259801,4.86442123172055,6.64349880151553e-05,0.0689836757371913,1.32120301057536
"ENSMUSG00000055148","ENSMUSG00000055148","Klf2",0.792114696903805,8.65818353962596,4.73340504722994,9.19330270803228e-05,0.0730387482713828,1.2125071473175
"ENSMUSG00000042675","ENSMUSG00000042675","Ypel3",1.25647971105076,7.02937230511234,4.70641156989815,9.83035956640255e-05,0.0730387482713828,1.36531858458265
"ENSMUSG00000003809","ENSMUSG00000003809","Gcdh",1.4533457464148,5.14055104364839,4.7037073410164,9.89657609330063e-05,0.0730387482713828,1.4149129488488
"ENSMUSG00000023805","ENSMUSG00000023805","Synj2",-2.77994783275761,1.45310355806194,-4.67737420254245,0.000105652724590556,0.0730387482713828,1.0164082244213
"ENSMUSG00000027639","ENSMUSG00000027639","Samhd1",0.982667204290119,7.6721638852037,4.66987527377055,0.00010763870899429,0.0730387482713828,1.06830217156636
"ENSMUSG00000054892","ENSMUSG00000054892","Txk",-1.02890416514181,7.01389263980338,-4.66589636408047,0.000108707644949528,0.0730387482713828,1.18749826646353
"ENSMUSG00000001333","ENSMUSG00000001333","Sync",-2.34157819999449,-0.350690446725261,-4.61176441252201,0.000124354741464207,0.0789099920557875,0.869626147812496
"ENSMUSG00000079834","ENSMUSG00000079834","Tmlhe",-3.10412598267002,3.13394231045867,-4.58737899666617,0.00013212353579487,0.0794271066236316,0.811682834773627
"ENSMUSG00000043832","ENSMUSG00000043832","Clec4a3",3.20104800715694,1.76619314098447,4.541603462162,0.000148045430515192,0.0799606237489008,0.642153161937801
"ENSMUSG00000036002","ENSMUSG00000036002","Fam214b",2.40147316488729,3.31481248886771,4.51641642159517,0.000157612194852709,0.0799606237489008,0.843015808231471
"ENSMUSG00000063268","ENSMUSG00000063268","Parp10",1.06085830186689,6.6809045498441,4.51393026660845,0.000158589460579345,0.0799606237489008,0.810185055121925
